"","ID","unidade","cidadania"
"201","Obs206","UFAL CECA",3
"202","Obs207","UFAL Arapiraca",2.33333333333333
"203","Obs208","UFAL A.C. Simões",3.33333333333333
"204","Obs209","UFAL A.C. Simões",2.16666666666667
"205","Obs210","UFAL A.C. Simões",2.5
"206","Obs211","UFAL CECA",2.66666666666667
"207","Obs212","UFAL A.C. Simões",3
"208","Obs213","UFAL A.C. Simões",2.33333333333333
"209","Obs214","UFAL A.C. Simões",1.5
"210","Obs215","UFAL A.C. Simões",2.83333333333333
"211","Obs216","UFAL A.C. Simões",2.5
"212","Obs217","UFAL A.C. Simões",3.83333333333333
"213","Obs218","UFAL A.C. Simões",1.66666666666667
"214","Obs219","UFAL A.C. Simões",3
"215","Obs220","UFAL Arapiraca",1.66666666666667
"216","Obs221","UFAL A.C. Simões",3.5
"217","Obs222","UFAL A.C. Simões",3.83333333333333
"218","Obs223","UFAL A.C. Simões",2.33333333333333
"219","Obs224","UFAL A.C. Simões",2
"220","Obs225","UFAL CECA",2.16666666666667
"221","Obs226","UFAL A.C. Simões",1.66666666666667
"222","Obs227","UFAL A.C. Simões",2
"223","Obs228","UFAL A.C. Simões",2.5
"224","Obs229","UFAL A.C. Simões",2.5
"225","Obs230","UFAL A.C. Simões",3.5
"226","Obs231","UFAL A.C. Simões",3.83333333333333
"227","Obs232","UFAL A.C. Simões",2.5
"228","Obs233","UFAL A.C. Simões",2.5
"229","Obs234","UFAL A.C. Simões",3
"230","Obs235","UFAL A.C. Simões",2.66666666666667
"231","Obs236","UFAL A.C. Simões",1.33333333333333
"232","Obs237","UFAL A.C. Simões",1.5
"233","Obs238","UFAL A.C. Simões",2
"234","Obs239","UFAL CECA",1.5
"235","Obs240","UFAL A.C. Simões",3.33333333333333
"236","Obs241","UFAL A.C. Simões",3.5
"237","Obs242","UFAL A.C. Simões",2
"238","Obs243","UFAL A.C. Simões",2.33333333333333
"239","Obs244","UFAL A.C. Simões",1.5
"240","Obs245","UFAL A.C. Simões",2.16666666666667
"241","Obs246","UFAL A.C. Simões",2.16666666666667
"242","Obs247","UFAL A.C. Simões",1.5
"243","Obs248","UFAL A.C. Simões",2.16666666666667
"244","Obs249","UFAL A.C. Simões",2.33333333333333
"245","Obs250","UFAL A.C. Simões",2.66666666666667
"246","Obs251","UFAL A.C. Simões",2.83333333333333
"247","Obs252","UFAL A.C. Simões",2.33333333333333
"248","Obs254","UFAL Arapiraca",2.16666666666667
"249","Obs255","UFAL A.C. Simões",4
"250","Obs256","UFAL A.C. Simões",1.33333333333333
"251","Obs257","UFAL A.C. Simões",2.66666666666667
"252","Obs258","UFAL A.C. Simões",2.16666666666667
"253","Obs259","UFAL A.C. Simões",3
"254","Obs260","UFAL A.C. Simões",2.16666666666667
"255","Obs261","UFAL A.C. Simões",3
"256","Obs262","UFAL A.C. Simões",3
"257","Obs263","UFAL A.C. Simões",3
"258","Obs265","UFAL A.C. Simões",2
"259","Obs266","UFAL A.C. Simões",2.33333333333333
"260","Obs267","UFAL A.C. Simões",2
"261","Obs268","UFAL Arapiraca",2.16666666666667
"262","Obs269","UFAL Arapiraca",2.16666666666667
"263","Obs270","UFAL Arapiraca",1.66666666666667
"264","Obs271","UFAL CECA",2.83333333333333
"265","Obs272","UFAL A.C. Simões",2.33333333333333
"266","Obs273","UFAL A.C. Simões",2.33333333333333
"267","Obs274","UFAL A.C. Simões",3
"268","Obs275","UFAL A.C. Simões",2.33333333333333
"269","Obs276","UFAL Arapiraca",2.66666666666667
"270","Obs277","UFAL A.C. Simões",2.16666666666667
"271","Obs278","UFAL CECA",2.66666666666667
"272","Obs279","UFAL CECA",2.5
"273","Obs280","UFAL A.C. Simões",1.83333333333333
"274","Obs281","UFAL A.C. Simões",2
"275","Obs282","UFAL A.C. Simões",4.5
"276","Obs283","UFAL A.C. Simões",4.16666666666667
"277","Obs284","UFAL CECA",1.83333333333333
"278","Obs285","UFAL A.C. Simões",2.5
"279","Obs286","UFAL A.C. Simões",2
"280","Obs287","UFAL A.C. Simões",3.5
"281","Obs288","UFAL A.C. Simões",1
"282","Obs289","UFAL A.C. Simões",1.83333333333333
"283","Obs290","UFAL A.C. Simões",1.66666666666667
"284","Obs291","UFAL CECA",2
"285","Obs292","UFAL Arapiraca",2.16666666666667
"286","Obs293","UFAL A.C. Simões",2.16666666666667
"287","Obs294","UFAL A.C. Simões",2.5
"288","Obs295","UFAL Arapiraca",3.33333333333333
"289","Obs296","UFAL A.C. Simões",2.33333333333333
"290","Obs297","UFAL Arapiraca",3.33333333333333
