ID,formacao.continuada,unidade,pedagogica,cidadania,desenvolvimento
5e8e059fa861ff1e9eff451a,Especialização - Em andamento,UFAL A.C. Simões,3.75,3,2.6666666666666665
5e8e1958a861ff1e9eff4536,Mestrado - Concluído,UFAL A.C. Simões,2.25,2.3333333333333335,3
5e8f328aa861ff3023f7086a,Formação continuada - Concluída,UFAL A.C. Simões,3.5,3.8333333333333335,3.6666666666666665
5e8f35b2a861ff3023f70888,Doutorado - Concluído,UFAL A.C. Simões,1,3,4
5e8f4935a861ff3023f708bc,Formação continuada - Em andamento,UFAL Arapiraca,2.75,1.6666666666666667,3.6666666666666665
5e8f534ea861ff3027b947f1,Formação continuada - Concluída,UFAL A.C. Simões,3.25,3.8333333333333335,4.333333333333333
5e8f5416a861ff3023f708f4,Formação continuada - Concluída,UFAL A.C. Simões,1.25,2.3333333333333335,1.3333333333333333
5e8f6906a861ff3027b9480d,Formação continuada - Concluída,UFAL A.C. Simões,3,2,3
5e8f8180a861ff3027b9484b,Formação continuada - Concluída,UFAL A.C. Simões,2.75,2.5,3
5e8fb660a861ff3023f709db,Doutorado - Concluído,UFAL A.C. Simões,3.75,3.5,4.333333333333333
5e90814ca861ff4925848a37,Doutorado - Concluído,UFAL A.C. Simões,4.75,3,2
5e911aafa861ff4925848ac9,Formação continuada - Em andamento,UFAL A.C. Simões,2,1.5,2.3333333333333335
5e945ae3a861ff7892432234,Formação continuada - Concluída,UFAL A.C. Simões,2.75,2.3333333333333335,3.3333333333333335
5e947b75a861ff789243227b,Formação continuada - Em andamento,UFAL A.C. Simões,2.5,2.1666666666666665,4
5e947d14a861ff7892432286,Formação continuada - Em andamento,UFAL A.C. Simões,1.25,1.5,1.6666666666666667
5e949fa4a861ff789243231a,Formação continuada - Concluída,UFAL A.C. Simões,2.5,2.3333333333333335,3
5e94ab3fa861ff7896812dad,Mestrado - Concluído,UFAL A.C. Simões,3.5,4,4
5e94bd54a861ff7892432381,Doutorado - Concluído,UFAL A.C. Simões,1.5,2.6666666666666665,2.6666666666666665
5e94e6bca861ff7892432458,Formação continuada - Concluída,UFAL A.C. Simões,2.25,3,3
5e94e850a861ff789243246b,Formação continuada - Concluída,UFAL A.C. Simões,2.25,3,2.6666666666666665
5e95c8f8a861ff59ee480325,Pós-doutorado - Concluído,UFAL Sertão,2.75,3.8333333333333335,4
5e95fab2a861ff59ee4803b5,Formação continuada - Em andamento,UFAL A.C. Simões,2,2,2
5e960d03a861ff59eaf4da69,Formação continuada - Em andamento,UFAL Arapiraca,2.75,2.1666666666666665,4.333333333333333
5e9713aea861ff2b80c2a150,Formação continuada - Em andamento,UFAL A.C. Simões,2.75,2.3333333333333335,3.6666666666666665
5e97591ea861ff2b84394bec,Formação continuada - Em andamento,UFAL A.C. Simões,2.25,3,4.333333333333333
5e976471a861ff2b84394d69,Doutorado - Concluído,UFAL A.C. Simões,1.25,2.3333333333333335,2.3333333333333335
5e98c752a861ff4f90c066aa,Doutorado - Concluído,UFAL CECA,1.75,2.6666666666666665,4.666666666666667
5e98f5fda861ff4f94c03107,Doutorado - Concluído,UFAL CECA,2,2.5,2.3333333333333335
5e99cb19a861ff6ad77598d0,Doutorado - Concluído,UFAL A.C. Simões,3.25,4.5,3.6666666666666665
5e99d6faa861ff6ad77598ea,Mestrado - Concluído,UFAL A.C. Simões,3,4.166666666666667,3.3333333333333335
5e9a48d5a861ff6ad7759d79,Formação continuada - Concluída,UFAL A.C. Simões,1,2,2.3333333333333335
5e9a4e7aa861ff6ad3ac0517,Formação continuada - Concluída,UFAL A.C. Simões,3,3.5,4
5e9b1874a861ff156f61bc41,Pós-doutorado - Concluído,UFAL A.C. Simões,1.75,1.8333333333333333,2
5e9c4035a861ff28871f28a9,Formação continuada - Em andamento,UFAL A.C. Simões,1.5,2.1666666666666665,2
5e9c4543a861ff288b0029e3,Formação continuada - Em andamento,UFAL A.C. Simões,2,2.5,2.6666666666666665
5e9cf5d3a861ff28871f2995,Formação continuada - Em andamento,UFAL A.C. Simões,2.5,2.1666666666666665,3
5e9d8b77a861ff3b572b80fb,Formação continuada - Em andamento,UFAL A.C. Simões,2,1.6666666666666667,2
5e9d97e6a861ff3b572b8110,Mestrado - Concluído,UFAL Sertão,2.25,2.8333333333333335,3.3333333333333335
5e9dd3c6a861ff3b572b81ff,Especialização - Concluída,UFAL A.C. Simões,2.75,3.3333333333333335,3.3333333333333335
5e9e0edaa861ff3b572b82d4,Mestrado - Concluído,UFAL A.C. Simões,3,2.8333333333333335,3.3333333333333335
5e9e2bf8a861ff3b5bb0faec,Mestrado - Concluído,UFAL Arapiraca,1,3.6666666666666665,3
5e9e4316a861ff3b5bb0fb22,Doutorado - Concluído,UFAL A.C. Simões,1.25,1.6666666666666667,2.6666666666666665
5e9ef485a861ff57078b12fb,Pós-doutorado - Concluído,UFAL CECA,1.5,2,3.6666666666666665
5e9f525aa861ff5703fb72a7,Doutorado - Em andamento,UFAL Sertão,1.5,2.5,3
5e9f5b44a861ff57078b1401,Pós-doutorado - Concluído,UFAL Arapiraca,5,4.833333333333333,5
5ea03d1aa861ff6b228ebccc,Mestrado - Concluído,UFAL A.C. Simões,1.75,1.3333333333333333,2.3333333333333335
5ea5eb2aa861ff360e5f6110,Formação continuada - Em andamento,UFAL A.C. Simões,1.75,3,3
