ID,etapa.de.ensino,area.de.conhecimento,formacao.continuada,unidade,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,Item10,Item11,Item12,Item13,Item14,Item15,Item16,Item17,Item18,Item19,Item20,Item21,Item22,Item23
5e95fab2a861ff59ee4803b5,Ensino Superior,Ciências da Saúde,Formação continuada - Em andamento,UFAL A.C. Simões,3,2,1,1,2,4,2,2,3,3,2,4,2,2,2,3,1,1,2,2,2,2,2
5e95ffdda861ff59eaf4da2e,Ensino Superior,Ciências da Saúde,NA,UFAL A.C. Simões,2,3,2,1,2,2,2,2,3,2,2,5,2,3,2,4,1,1,3,2,2,2,3
5e9608d2a861ff59eaf4da60,Ensino Superior,Ciências Exatas e da Terra,NA,UFAL A.C. Simões,2,2,1,1,1,1,1,2,2,2,2,4,1,3,2,5,1,1,2,2,2,2,3
5e96fe64a861ff2b84394b19,Ensino Superior,Ciências da Saúde,NA,UFAL A.C. Simões,2,2,3,2,1,2,2,3,3,3,3,2,2,2,2,2,3,3,4,2,2,3,4
5e9713aea861ff2b80c2a150,Ensino Superior,Ciências da Saúde,Formação continuada - Em andamento,UFAL A.C. Simões,3,4,2,3,4,2,5,3,3,3,3,4,1,1,1,5,4,3,4,4,2,4,5
5e97591ea861ff2b84394bec,Ensino Superior,Ciências Biológicas,Formação continuada - Em andamento,UFAL A.C. Simões,3,4,2,2,3,2,4,3,4,3,3,4,2,4,3,5,2,3,5,4,4,4,4
5e976471a861ff2b84394d69,Ensino Superior,Ciências Sociais Aplicadas,Doutorado - Concluído,UFAL A.C. Simões,3,2,2,1,1,1,2,3,4,3,2,4,2,3,2,5,2,1,3,3,2,2,2
5e97a584a861ff6164ef6c6d,Ensino Superior,Ciências da Saúde,NA,UFAL A.C. Simões,2,2,3,1,1,1,1,2,2,2,2,4,1,3,2,5,2,1,3,2,2,3,3
5e8b4adca861ff6839af0b99,Ensino Superior,Ciências Humanas,Formação continuada - Concluída,UFAL A.C. Simões,4,3,2,2,2,4,4,3,3,3,3,4,2,3,3,4,4,3,4,4,3,4,3
5e98f764a861ff4f90c06714,Ensino Superior,Engenharias,NA,UFAL A.C. Simões,3,2,3,2,3,2,3,3,2,3,3,1,2,3,2,5,1,2,1,3,1,2,3
5e9972fda861ff6ad775989b,Ensino Superior,Ciências da Saúde,NA,UFAL A.C. Simões,2,2,2,1,3,1,1,3,2,3,2,5,1,2,2,3,1,1,2,2,1,2,1
5e99cb19a861ff6ad77598d0,Ensino Superior,Ciências da Saúde,Doutorado - Concluído,UFAL A.C. Simões,3,3,2,4,3,4,4,5,5,4,3,4,3,5,5,5,5,5,3,4,3,5,5
5e99d6faa861ff6ad77598ea,Ensino Superior,Ciências da Saúde,Mestrado - Concluído,UFAL A.C. Simões,4,3,2,3,3,4,4,5,5,5,3,4,3,5,5,5,4,4,3,4,3,5,4
5e9a0f70a861ff6ad3ac0194,Ensino Superior,Linguística/Letras e Artes;Ciências Humanas,NA,UFAL A.C. Simões,3,3,2,2,1,1,3,3,4,3,3,4,2,4,2,5,4,3,4,4,4,4,3
5e9a46a9a861ff6ad7759d54,Ensino Superior,Linguística/Letras e Artes,NA,UFAL A.C. Simões,2,2,2,2,1,2,2,2,2,3,3,3,3,3,2,3,2,2,2,2,2,2,2
5e9a48d5a861ff6ad7759d79,Ensino Superior,Engenharias,Formação continuada - Concluída,UFAL A.C. Simões,2,2,1,1,1,1,3,2,3,2,2,3,2,3,2,3,1,1,2,2,2,4,3
5e9a4e7aa861ff6ad3ac0517,Ensino Superior,Linguística/Letras e Artes,Formação continuada - Concluída,UFAL A.C. Simões,3,4,3,3,3,3,3,3,4,4,3,3,4,3,3,4,4,4,4,4,4,4,4
5e9b04e1a861ff1573821a39,Ensino Superior,Ciências Sociais Aplicadas,NA,UFAL A.C. Simões,3,2,2,2,2,2,2,1,2,2,2,1,1,1,1,2,1,1,1,1,2,1,1
