ID,etapa.de.ensino,unidade,pedagogica,cidadania,desenvolvimento
5e8b6ef8a861ff6839af0f5a,Ensino Superior,UFAL A.C. Simões,1,2.5,2
5e8b72a6a861ff6839af0f81,Ensino Superior,UFAL A.C. Simões,1.25,1.3333333333333333,1.6666666666666667
5e8b72b4a861ff6839af0f85,Ensino Superior,UFAL A.C. Simões,1.5,3,2.3333333333333335
5e8b73e7a861ff6835a5c97c,Ensino Superior,UFAL A.C. Simões,3.25,2.3333333333333335,1.6666666666666667
5e8b75aaa861ff6835a5c9d6,Ensino Superior,UFAL A.C. Simões,1,2.1666666666666665,1
5e8b7816a861ff6839af1056,Ensino Superior,UFAL A.C. Simões,1.25,1.1666666666666667,2.3333333333333335
5e8b7950a861ff6835a5ca36,Ensino Superior,UFAL Arapiraca,1,1.6666666666666667,2.3333333333333335
5e8b79dfa861ff6835a5ca45,Ensino Superior,UFAL Arapiraca,1.25,1.6666666666666667,2.3333333333333335
5e8b83b5a861ff6839af110e,Ensino Superior,UFAL CECA,3,2.1666666666666665,3
5e8b83c3a861ff6835a5cb0c,Ensino Superior,UFAL A.C. Simões,2.75,3.1666666666666665,3.3333333333333335
5e8b8669a861ff6839af113c,Ensino Superior,UFAL A.C. Simões,1.5,2.3333333333333335,2.3333333333333335
5e8b87a1a861ff6835a5cb5c,Ensino Superior,UFAL A.C. Simões,2,2.5,4.333333333333333
5e8b911ba861ff6839af11d2,Ensino Superior,UFAL A.C. Simões,2.75,2.5,3
5e8b9f2da861ff6835a5ccbc,Ensino Superior,UFAL CECA,4.25,3.5,3.3333333333333335
5e8ba1f3a861ff6839af126c,Ensino Superior,UFAL Arapiraca,2.5,3.6666666666666665,3
5e8ba590a861ff6839af12ac,Ensino Superior,UFAL A.C. Simões,1.5,2.6666666666666665,3
5e8bb585a861ff6839af134c,Ensino Superior,UFAL Arapiraca,2.5,1.8333333333333333,3
5e8bbac9a861ff6839af136a,Ensino Superior,UFAL Arapiraca,1.75,1.6666666666666667,2
5e8bbdd9a861ff6839af137f,Ensino Superior,UFAL Arapiraca,2,3.6666666666666665,3.6666666666666665
5e8bc468a861ff6835a5cd9f,Ensino Superior,UFAL CECA,4,4.5,4.333333333333333
5e8bc5ada861ff6839af1399,Ensino Superior,UFAL A.C. Simões,3,2.6666666666666665,2.3333333333333335
5e8bc5dda861ff6839af139c,Ensino Superior,UFAL Arapiraca,1.75,2.3333333333333335,3
5e8bc6a5a861ff6835a5cdad,Ensino Superior,UFAL A.C. Simões,2.25,3.1666666666666665,3
5e8bd177a861ff6839af13ed,Ensino Superior,UFAL A.C. Simões,1,1.1666666666666667,1.3333333333333333
5e8bd9cba861ff6835a5ce2c,Ensino Superior,UFAL A.C. Simões,3.75,2.8333333333333335,2
5e8c0117a861ff6839af14a9,Ensino Superior,UFAL Arapiraca,1,1.6666666666666667,2
5e8c58caa861ff6ff383c55d,Ensino Superior,UFAL A.C. Simões,2,3.1666666666666665,4.333333333333333
5e8c60daa861ff6fefca95f2,Ensino Superior,UFAL A.C. Simões,1,2.6666666666666665,3
5e8c645da861ff6fefca9609,Ensino Superior,UFAL A.C. Simões,1,2.1666666666666665,2
5e8c671aa861ff6fefca9623,Ensino Superior,UFAL A.C. Simões,1,1.6666666666666667,1
5e8c6c62a861ff6ff383c5d9,Ensino Superior,UFAL CECA,1.5,2.3333333333333335,1.3333333333333333
5e8c7124a861ff2e90d6a263,Ensino Superior,UFAL A.C. Simões,3.5,3.1666666666666665,3
5e8c72d4a861ff2e94d12f38,Ensino Superior,UFAL Arapiraca,3.5,2.1666666666666665,2
5e8c7773a861ff2e90d6a280,Ensino Superior,UFAL A.C. Simões,1.25,1.1666666666666667,1.3333333333333333
5e8c7b39a861ff2e94d12f5e,Ensino Superior,UFAL A.C. Simões,2.5,2.3333333333333335,2
5e8c7d3da861ff2e94d12f72,Ensino Superior,UFAL A.C. Simões,2.75,3.1666666666666665,3.3333333333333335
5e8c82b5a861ff2e90d6a2b5,Ensino Superior,UFAL A.C. Simões,2.5,1.6666666666666667,3.3333333333333335
5e8c8790a861ff2e94d12fac,Ensino Superior,UFAL A.C. Simões,1.25,2.3333333333333335,1.3333333333333333
5e8c87a4a861ff2e90d6a2e1,Ensino Superior,UFAL A.C. Simões,2,2,2.6666666666666665
5e8c8b93a861ff47f7768ef7,Ensino Superior,UFAL CECA,2.75,2.5,3.6666666666666665
5e8c900ea861ff47fb25fc89,Ensino Superior,UFAL A.C. Simões,1,2,3
5e8c9918a861ff47fb25fcc4,Ensino Superior,UFAL A.C. Simões,5,4.5,4.333333333333333
5e8c9f4ca861ff47f7768f62,Ensino Superior,UFAL A.C. Simões,1,1.6666666666666667,1.6666666666666667
5e8ca2baa861ff47fb25fd0b,Ensino Superior,UFAL A.C. Simões,1.5,1.6666666666666667,1.6666666666666667
5e8cb167a861ff47f7768fae,Ensino Superior,UFAL Arapiraca,2.25,2.6666666666666665,1.3333333333333333
5e8cb62fa861ff47fb25fd84,Ensino Superior,UFAL Sertão,2,1.6666666666666667,1.3333333333333333
5e8cbd8aa861ff47fb25fd98,Ensino Superior,UFAL Arapiraca,2.5,2.6666666666666665,3.3333333333333335
5e8cbeada861ff47f7768fde,Ensino Superior,UFAL A.C. Simões,3.25,2.8333333333333335,3.3333333333333335
5e8cc3bda861ff47fb25fdb6,Ensino Superior,UFAL CECA,1.5,2.5,1.6666666666666667
5e8cc8d6a861ff47f7769010,Ensino Superior,UFAL Arapiraca,3.5,1.8333333333333333,2.6666666666666665
5e8ccdbda861ff47f7769022,Ensino Superior,UFAL CECA,3,2.3333333333333335,3.3333333333333335
5e8cce98a861ff47fb25fde8,Ensino Superior,UFAL A.C. Simões,1,1.8333333333333333,3
5e8cd187a861ff47fb25fe07,Ensino Superior,UFAL CECA,2.25,2.1666666666666665,2.6666666666666665
5e8cdb83a861ff47f7769060,Ensino Superior,UFAL A.C. Simões,1.5,2.6666666666666665,1.6666666666666667
5e8ce3cba861ff47fb25fe51,Ensino Superior,UFAL A.C. Simões,1,2,3
5e8ce3f9a861ff47f7769075,Ensino Superior,UFAL Arapiraca,1,1.3333333333333333,2
5e8cee38a861ff47fb25fe6f,Ensino Superior,UFAL A.C. Simões,3.5,3.3333333333333335,3.6666666666666665
5e8cf139a861ff47f77690b8,Ensino Superior,UFAL Arapiraca,1.25,1.6666666666666667,2.3333333333333335
5e8cf2b4a861ff47f77690bc,Ensino Superior,UFAL A.C. Simões,2.75,3.6666666666666665,4
5e8cf435a861ff47f77690cb,Ensino Superior,UFAL CECA,2.75,3,2.6666666666666665
5e8d0e50a861ff47f7769146,Ensino Superior,UFAL Arapiraca,1.5,2.3333333333333335,2.6666666666666665
5e8d1446a861ff47fb25ff60,Ensino Superior,UFAL A.C. Simões,4,3.3333333333333335,3.3333333333333335
5e8dd8fea861ff1ea2a14634,Ensino Superior,UFAL A.C. Simões,1.75,2.1666666666666665,3
5e8de11ba861ff1e9eff44c1,Ensino Superior,UFAL A.C. Simões,1,2.5,1.3333333333333333
5e8dff61a861ff1ea2a1468e,Ensino Superior,UFAL CECA,3.75,2.6666666666666665,3
5e8e059fa861ff1e9eff451a,Ensino Técnico,UFAL A.C. Simões,3.75,3,2.6666666666666665
5e8e1958a861ff1e9eff4536,Ensino Superior,UFAL A.C. Simões,2.25,2.3333333333333335,3
5e8e3f82a861ff25bf3a560e,Ensino Superior,UFAL A.C. Simões,1,1.5,2
5e8f1ef8a861ff3023f7085e,Ensino Superior,UFAL A.C. Simões,4,2.8333333333333335,3.3333333333333335
5e8f2171a861ff3023f70869,Ensino Superior,UFAL A.C. Simões,2.75,2.5,1.6666666666666667
5e8f328aa861ff3023f7086a,Ensino Superior,UFAL A.C. Simões,3.5,3.8333333333333335,3.6666666666666665
5e8f32d2a861ff3023f7086f,Ensino Superior,UFAL A.C. Simões,1.75,1.6666666666666667,3.3333333333333335
5e8f35b2a861ff3023f70888,Ensino Superior,UFAL A.C. Simões,1,3,4
5e8f4935a861ff3023f708bc,Ensino Superior,UFAL Arapiraca,2.75,1.6666666666666667,3.6666666666666665
5e8f4d06a861ff3027b947e5,Ensino Superior,UFAL A.C. Simões,2,3.5,2.6666666666666665
