ID,area.de.conhecimento,formacao.continuada,unidade,pedagogica,cidadania,desenvolvimento
5e8b4adca861ff6839af0b99,Ciências Humanas,Formação continuada - Concluída,UFAL A.C. Simões,2.5,3.1666666666666665,3.3333333333333335
5e8b72b4a861ff6839af0f85,Ciências Exatas e da Terra,Formação continuada - Concluída,UFAL A.C. Simões,1.5,3,2.3333333333333335
5e8b7816a861ff6839af1056,Ciências da Saúde,Formação continuada - Concluída,UFAL A.C. Simões,1.25,1.1666666666666667,2.3333333333333335
5e8b79dfa861ff6835a5ca45,Ciências Agrárias,Formação continuada - Concluída,UFAL Arapiraca,1.25,1.6666666666666667,2.3333333333333335
5e8b83c3a861ff6835a5cb0c,Ciências da Saúde,Pós-doutorado - Concluído,UFAL A.C. Simões,2.75,3.1666666666666665,3.3333333333333335
5e8b87a1a861ff6835a5cb5c,Engenharias,Formação continuada - Concluída,UFAL A.C. Simões,2,2.5,4.333333333333333
5e8bbac9a861ff6839af136a,Ciências Humanas,Formação continuada - Concluída,UFAL Arapiraca,1.75,1.6666666666666667,2
5e8bbdd9a861ff6839af137f,Ciências da Saúde,Doutorado - Concluído,UFAL Arapiraca,2,3.6666666666666665,3.6666666666666665
5e8bc5ada861ff6839af1399,Ciências da Saúde,Doutorado - Concluído,UFAL A.C. Simões,3,2.6666666666666665,2.3333333333333335
5e8bc6a5a861ff6835a5cdad,Ciências da Saúde,Doutorado - Concluído,UFAL A.C. Simões,2.25,3.1666666666666665,3
5e8bd9cba861ff6835a5ce2c,Ciências Biológicas,Formação continuada - Concluída,UFAL A.C. Simões,3.75,2.8333333333333335,2
5e8c58caa861ff6ff383c55d,Ciências da Saúde,Doutorado - Concluído,UFAL A.C. Simões,2,3.1666666666666665,4.333333333333333
5e8c60daa861ff6fefca95f2,Ciências da Saúde,Doutorado - Concluído,UFAL A.C. Simões,1,2.6666666666666665,3
5e8c671aa861ff6fefca9623,Ciências Humanas,Formação continuada - Em andamento,UFAL A.C. Simões,1,1.6666666666666667,1
5e8c7b39a861ff2e94d12f5e,Ciências da Saúde,Doutorado - Concluído,UFAL A.C. Simões,2.5,2.3333333333333335,2
5e8c87a4a861ff2e90d6a2e1,Ciências Exatas e da Terra,Pós-doutorado - Concluído,UFAL A.C. Simões,2,2,2.6666666666666665
5e8c8b93a861ff47f7768ef7,Ciências Agrárias,Formação continuada - Concluída,UFAL CECA,2.75,2.5,3.6666666666666665
5e8c9918a861ff47fb25fcc4,Ciências Humanas,Pós-doutorado - Concluído,UFAL A.C. Simões,5,4.5,4.333333333333333
5e8cb62fa861ff47fb25fd84,Engenharias,Formação continuada - Concluída,UFAL Sertão,2,1.6666666666666667,1.3333333333333333
5e8cbd8aa861ff47fb25fd98,Engenharias,Graduação - Em andamento,UFAL Arapiraca,2.5,2.6666666666666665,3.3333333333333335
5e8cbeada861ff47f7768fde,Ciências Sociais Aplicadas,Formação continuada - Concluída,UFAL A.C. Simões,3.25,2.8333333333333335,3.3333333333333335
5e8cc8d6a861ff47f7769010,Ciências Biológicas,Formação continuada - Concluída,UFAL Arapiraca,3.5,1.8333333333333333,2.6666666666666665
5e8cd187a861ff47fb25fe07,Ciências Agrárias,Formação continuada - Concluída,UFAL CECA,2.25,2.1666666666666665,2.6666666666666665
5e8cdb83a861ff47f7769060,Ciências Exatas e da Terra,Doutorado - Concluído,UFAL A.C. Simões,1.5,2.6666666666666665,1.6666666666666667
5e8cee38a861ff47fb25fe6f,Ciências Exatas e da Terra,Formação continuada - Concluída,UFAL A.C. Simões,3.5,3.3333333333333335,3.6666666666666665
5e8cf2b4a861ff47f77690bc,Ciências da Saúde,Formação continuada - Concluída,UFAL A.C. Simões,2.75,3.6666666666666665,4
5e8cf435a861ff47f77690cb,Ciências Exatas e da Terra,Mestrado - Concluído,UFAL CECA,2.75,3,2.6666666666666665
5e8d1446a861ff47fb25ff60,Ciências da Saúde,Doutorado - Concluído,UFAL A.C. Simões,4,3.3333333333333335,3.3333333333333335
5e8dff61a861ff1ea2a1468e,Ciências Agrárias,Doutorado - Concluído,UFAL CECA,3.75,2.6666666666666665,3
5e8e059fa861ff1e9eff451a,Ensino técnico,Especialização - Em andamento,UFAL A.C. Simões,3.75,3,2.6666666666666665
5e8e1958a861ff1e9eff4536,Ciências Sociais Aplicadas,Mestrado - Concluído,UFAL A.C. Simões,2.25,2.3333333333333335,3
5e8f328aa861ff3023f7086a,Linguística/Letras e Artes,Formação continuada - Concluída,UFAL A.C. Simões,3.5,3.8333333333333335,3.6666666666666665
5e8f35b2a861ff3023f70888,Linguística/Letras e Artes,Doutorado - Concluído,UFAL A.C. Simões,1,3,4
5e8f4935a861ff3023f708bc,Ciências Sociais Aplicadas,Formação continuada - Em andamento,UFAL Arapiraca,2.75,1.6666666666666667,3.6666666666666665
5e8f534ea861ff3027b947f1,Linguística/Letras e Artes,Formação continuada - Concluída,UFAL A.C. Simões,3.25,3.8333333333333335,4.333333333333333
5e8f5416a861ff3023f708f4,Linguística/Letras e Artes,Formação continuada - Concluída,UFAL A.C. Simões,1.25,2.3333333333333335,1.3333333333333333
5e8f6906a861ff3027b9480d,Linguística/Letras e Artes,Formação continuada - Concluída,UFAL A.C. Simões,3,2,3
5e8f8180a861ff3027b9484b,Ciências Exatas e da Terra,Formação continuada - Concluída,UFAL A.C. Simões,2.75,2.5,3
5e8fb660a861ff3023f709db,Ciências da Saúde,Doutorado - Concluído,UFAL A.C. Simões,3.75,3.5,4.333333333333333
5e90814ca861ff4925848a37,Linguística/Letras e Artes,Doutorado - Concluído,UFAL A.C. Simões,4.75,3,2
5e911aafa861ff4925848ac9,Ciências da Saúde,Formação continuada - Em andamento,UFAL A.C. Simões,2,1.5,2.3333333333333335
5e945ae3a861ff7892432234,Linguística/Letras e Artes,Formação continuada - Concluída,UFAL A.C. Simões,2.75,2.3333333333333335,3.3333333333333335
5e947b75a861ff789243227b,Linguística/Letras e Artes,Formação continuada - Em andamento,UFAL A.C. Simões,2.5,2.1666666666666665,4
5e947d14a861ff7892432286,Engenharias,Formação continuada - Em andamento,UFAL A.C. Simões,1.25,1.5,1.6666666666666667
5e949fa4a861ff789243231a,Ciências Sociais Aplicadas,Formação continuada - Concluída,UFAL A.C. Simões,2.5,2.3333333333333335,3
5e94ab3fa861ff7896812dad,Ciências Exatas e da Terra,Mestrado - Concluído,UFAL A.C. Simões,3.5,4,4
5e94bd54a861ff7892432381,Ciências da Saúde,Doutorado - Concluído,UFAL A.C. Simões,1.5,2.6666666666666665,2.6666666666666665
5e94e6bca861ff7892432458,Ciências da Saúde,Formação continuada - Concluída,UFAL A.C. Simões,2.25,3,3
5e94e850a861ff789243246b,Ciências Sociais Aplicadas,Formação continuada - Concluída,UFAL A.C. Simões,2.25,3,2.6666666666666665
5e95c8f8a861ff59ee480325,Linguística/Letras e Artes,Pós-doutorado - Concluído,UFAL Sertão,2.75,3.8333333333333335,4
5e95fab2a861ff59ee4803b5,Ciências da Saúde,Formação continuada - Em andamento,UFAL A.C. Simões,2,2,2
5e960d03a861ff59eaf4da69,Ciências Exatas e da Terra,Formação continuada - Em andamento,UFAL Arapiraca,2.75,2.1666666666666665,4.333333333333333
5e9713aea861ff2b80c2a150,Ciências da Saúde,Formação continuada - Em andamento,UFAL A.C. Simões,2.75,2.3333333333333335,3.6666666666666665
5e97591ea861ff2b84394bec,Ciências Biológicas,Formação continuada - Em andamento,UFAL A.C. Simões,2.25,3,4.333333333333333
5e976471a861ff2b84394d69,Ciências Sociais Aplicadas,Doutorado - Concluído,UFAL A.C. Simões,1.25,2.3333333333333335,2.3333333333333335
5e98c752a861ff4f90c066aa,Engenharias,Doutorado - Concluído,UFAL CECA,1.75,2.6666666666666665,4.666666666666667
5e98f5fda861ff4f94c03107,Ciências Agrárias,Doutorado - Concluído,UFAL CECA,2,2.5,2.3333333333333335
5e99cb19a861ff6ad77598d0,Ciências da Saúde,Doutorado - Concluído,UFAL A.C. Simões,3.25,4.5,3.6666666666666665
5e99d6faa861ff6ad77598ea,Ciências da Saúde,Mestrado - Concluído,UFAL A.C. Simões,3,4.166666666666667,3.3333333333333335
5e9a48d5a861ff6ad7759d79,Engenharias,Formação continuada - Concluída,UFAL A.C. Simões,1,2,2.3333333333333335
5e9a4e7aa861ff6ad3ac0517,Linguística/Letras e Artes,Formação continuada - Concluída,UFAL A.C. Simões,3,3.5,4
5e9b1874a861ff156f61bc41,Engenharias,Pós-doutorado - Concluído,UFAL A.C. Simões,1.75,1.8333333333333333,2
5e9c4035a861ff28871f28a9,Ciências Exatas e da Terra,Formação continuada - Em andamento,UFAL A.C. Simões,1.5,2.1666666666666665,2
5e9c4543a861ff288b0029e3,Ciências da Saúde,Formação continuada - Em andamento,UFAL A.C. Simões,2,2.5,2.6666666666666665
5e9cf5d3a861ff28871f2995,Ciências da Saúde,Formação continuada - Em andamento,UFAL A.C. Simões,2.5,2.1666666666666665,3
5e9d8b77a861ff3b572b80fb,Ciências Exatas e da Terra,Formação continuada - Em andamento,UFAL A.C. Simões,2,1.6666666666666667,2
5e9d97e6a861ff3b572b8110,Engenharias,Mestrado - Concluído,UFAL Sertão,2.25,2.8333333333333335,3.3333333333333335
5e9dd3c6a861ff3b572b81ff,Ciências Sociais Aplicadas,Especialização - Concluída,UFAL A.C. Simões,2.75,3.3333333333333335,3.3333333333333335
5e9e0edaa861ff3b572b82d4,Ciências Sociais Aplicadas,Mestrado - Concluído,UFAL A.C. Simões,3,2.8333333333333335,3.3333333333333335
5e9e2bf8a861ff3b5bb0faec,Ciências Sociais Aplicadas,Mestrado - Concluído,UFAL Arapiraca,1,3.6666666666666665,3
5e9e4316a861ff3b5bb0fb22,Ciências da Saúde,Doutorado - Concluído,UFAL A.C. Simões,1.25,1.6666666666666667,2.6666666666666665
5e9ef485a861ff57078b12fb,Ciências Agrárias,Pós-doutorado - Concluído,UFAL CECA,1.5,2,3.6666666666666665
5e9f525aa861ff5703fb72a7,Ciências Exatas e da Terra,Doutorado - Em andamento,UFAL Sertão,1.5,2.5,3
5e9f5b44a861ff57078b1401,Ciências da Saúde,Pós-doutorado - Concluído,UFAL Arapiraca,5,4.833333333333333,5
5ea03d1aa861ff6b228ebccc,Ciências Exatas e da Terra,Mestrado - Concluído,UFAL A.C. Simões,1.75,1.3333333333333333,2.3333333333333335
5ea5eb2aa861ff360e5f6110,Ciências Sociais Aplicadas,Formação continuada - Em andamento,UFAL A.C. Simões,1.75,3,3
